month,candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
2021-03-01,Career precarity and exit,9,0.6515332,0.1739941,0.17447275,0.7777777777777778,0.0,0.2222222222222222,0.7857566
2021-03-01,Compensation and pay rights,7,0.2682323,0.4424405,0.2893272,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.60499007
2021-03-01,Health safety and attendance,8,0.68114066,0.2892835,0.029575856,0.75,0.25,0.0,0.7443225
2021-03-01,Recruitment and labor market,3,0.48869562,0.35494307,0.15636128,0.6666666666666666,0.3333333333333333,0.0,0.5829391
2021-03-01,Scheduling hours and time off,6,0.597722,0.36751333,0.03476468,0.6666666666666666,0.3333333333333333,0.0,0.6905296
2021-03-01,Service work and tips,2,0.67509466,0.29523844,0.029666893,1.0,0.0,0.0,0.67509466
2021-03-01,Work arrangements and control,4,0.39260468,0.53802127,0.069374055,0.5,0.5,0.0,0.6299488
2021-04-01,Career precarity and exit,12,0.62660354,0.3000417,0.07335479,0.75,0.25,0.0,0.7161282
2021-04-01,Compensation and pay rights,2,0.7455586,0.23562855,0.018812899,1.0,0.0,0.0,0.7455586
2021-04-01,Health safety and attendance,11,0.5567818,0.34685218,0.09636595,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.7214272
2021-04-01,Recruitment and labor market,8,0.5886799,0.31789726,0.09342283,0.75,0.25,0.0,0.659623
2021-04-01,Scheduling hours and time off,6,0.65361196,0.2996879,0.046700116,0.8333333333333334,0.16666666666666666,0.0,0.77503294
2021-04-01,Service work and tips,2,0.6675027,0.28489023,0.047607083,1.0,0.0,0.0,0.6675027
2021-04-01,Work arrangements and control,3,0.4062111,0.3706989,0.22309005,0.3333333333333333,0.6666666666666666,0.0,0.59283316
2021-04-01,Workplace authority and interpersonal conflict,3,0.26490384,0.31154025,0.42355594,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.62531847
2021-05-01,Career precarity and exit,10,0.5148067,0.3488241,0.13636914,0.7,0.3,0.0,0.63308537
2021-05-01,Compensation and pay rights,5,0.31582308,0.23594725,0.44822964,0.4,0.0,0.6,0.7151314
2021-05-01,Health safety and attendance,9,0.62301743,0.3063318,0.070650764,0.8888888888888888,0.1111111111111111,0.0,0.6304724
2021-05-01,Recruitment and labor market,6,0.6808112,0.28957316,0.02961556,0.8333333333333334,0.16666666666666666,0.0,0.7957592
2021-05-01,Scheduling hours and time off,4,0.36222392,0.5807648,0.057011325,0.25,0.75,0.0,0.6840654
2021-05-01,Service work and tips,1,0.6817741,0.29508653,0.023139466,1.0,0.0,0.0,0.6817741
2021-05-01,Work arrangements and control,3,0.6469541,0.3086898,0.044356044,1.0,0.0,0.0,0.6469541
2021-06-01,Career precarity and exit,18,0.6313884,0.26630658,0.10230502,0.7777777777777778,0.16666666666666666,0.05555555555555555,0.7267482
2021-06-01,Collective worker power and rights,1,0.66982454,0.30741802,0.022757417,1.0,0.0,0.0,0.66982454
2021-06-01,Compensation and pay rights,4,0.5434931,0.4226606,0.03384631,0.75,0.25,0.0,0.70746183
2021-06-01,Health safety and attendance,9,0.61185116,0.33718103,0.050967783,0.6666666666666666,0.3333333333333333,0.0,0.6921653
2021-06-01,Recruitment and labor market,8,0.5769851,0.32536688,0.09764803,0.625,0.25,0.125,0.6925684
2021-06-01,Scheduling hours and time off,4,0.3172741,0.52090526,0.16182065,0.5,0.5,0.0,0.5510646
