rolling_window,candidate_theme,posts,negative_mean_probability,neutral_mean_probability,positive_mean_probability,hard_negative_share,hard_neutral_share,hard_positive_share,mean_max_probability
Y1_2021-22,Career precarity and exit,718,0.55673003,0.31691858,0.12635142,0.649025069637883,0.2646239554317549,0.08635097493036212,0.70623106
Y1_2021-22,Collective worker power and rights,231,0.3809959,0.43431857,0.18468551,0.4025974025974026,0.4329004329004329,0.1645021645021645,0.6801436
Y1_2021-22,Compensation and pay rights,994,0.44356954,0.40228352,0.15414694,0.4939637826961771,0.3843058350100604,0.12173038229376258,0.67213595
Y1_2021-22,Health safety and attendance,1406,0.6085926,0.32932937,0.062077984,0.7354196301564723,0.2332859174964438,0.031294452347083924,0.70011085
Y1_2021-22,Recruitment and labor market,560,0.47444338,0.41721582,0.10834077,0.5285714285714286,0.4089285714285714,0.0625,0.6779521
Y1_2021-22,Scheduling hours and time off,484,0.47910708,0.43081993,0.090073,0.5351239669421488,0.4214876033057851,0.04338842975206612,0.6704713
Y1_2021-22,Service work and tips,374,0.48360264,0.40787646,0.108520925,0.5561497326203209,0.3770053475935829,0.06684491978609626,0.67709124
Y1_2021-22,Work arrangements and control,286,0.4556698,0.43829352,0.1060367,0.4825174825174825,0.458041958041958,0.05944055944055944,0.65369093
Y1_2021-22,Workplace authority and interpersonal conflict,208,0.61664045,0.2853252,0.09803437,0.7451923076923077,0.20192307692307693,0.052884615384615384,0.7166106
Y2_2022-23,Career precarity and exit,956,0.58456117,0.3211473,0.09429157,0.6788702928870293,0.26464435146443516,0.056485355648535567,0.71303284
Y2_2022-23,Collective worker power and rights,226,0.42030123,0.44557574,0.13412303,0.45132743362831856,0.46017699115044247,0.08849557522123894,0.6916015
Y2_2022-23,Compensation and pay rights,1379,0.48109752,0.3918382,0.12706433,0.5387962291515591,0.37055837563451777,0.09064539521392313,0.6799322
Y2_2022-23,Health safety and attendance,1023,0.6108164,0.32860723,0.06057638,0.7311827956989247,0.23851417399804498,0.030303030303030304,0.704156
Y2_2022-23,Recruitment and labor market,780,0.46798095,0.4180092,0.11400982,0.5358974358974359,0.3935897435897436,0.07051282051282051,0.68593717
Y2_2022-23,Scheduling hours and time off,878,0.46476942,0.4508067,0.084423855,0.5170842824601367,0.4407744874715262,0.04214123006833713,0.67693394
Y2_2022-23,Service work and tips,476,0.5033751,0.40344995,0.09317492,0.5504201680672269,0.40336134453781514,0.046218487394957986,0.6851447
Y2_2022-23,Work arrangements and control,513,0.44422486,0.45231122,0.10346391,0.4951267056530214,0.4405458089668616,0.06432748538011696,0.6659632
Y2_2022-23,Workplace authority and interpersonal conflict,404,0.6062355,0.31048983,0.08327466,0.7178217821782178,0.23514851485148514,0.04702970297029703,0.7162608
Y3_2023-24,Career precarity and exit,644,0.5648303,0.33138976,0.10377998,0.6614906832298136,0.2717391304347826,0.06677018633540373,0.7023761
Y3_2023-24,Collective worker power and rights,107,0.5205384,0.37685665,0.102604926,0.6074766355140186,0.34579439252336447,0.04672897196261682,0.6917833
Y3_2023-24,Compensation and pay rights,856,0.52081233,0.38242117,0.09676651,0.602803738317757,0.3352803738317757,0.06191588785046729,0.6847713
Y3_2023-24,Health safety and attendance,574,0.6168512,0.31894746,0.0642013,0.7508710801393729,0.21428571428571427,0.03484320557491289,0.71104395
Y3_2023-24,Recruitment and labor market,551,0.47916391,0.40599334,0.11484271,0.542649727767695,0.38656987295825773,0.07078039927404718,0.69073105
Y3_2023-24,Scheduling hours and time off,704,0.4951418,0.43478155,0.07007666,0.5596590909090909,0.4147727272727273,0.02556818181818182,0.67759985
Y3_2023-24,Service work and tips,274,0.49380013,0.41771954,0.088480316,0.5912408759124088,0.3686131386861314,0.040145985401459854,0.6877936
Y3_2023-24,Work arrangements and control,330,0.42600837,0.47539678,0.09859485,0.4484848484848485,0.5060606060606061,0.045454545454545456,0.66010624
Y3_2023-24,Workplace authority and interpersonal conflict,382,0.6243532,0.2899499,0.08569691,0.7643979057591623,0.17277486910994763,0.06282722513089005,0.71991336
Y4_2024-25,Career precarity and exit,295,0.5905039,0.316978,0.09251811,0.6915254237288135,0.24745762711864408,0.061016949152542375,0.71851873
Y4_2024-25,Collective worker power and rights,50,0.5126617,0.3525492,0.13478905,0.62,0.3,0.08,0.7195209
Y4_2024-25,Compensation and pay rights,363,0.53299856,0.38636985,0.08063158,0.5922865013774105,0.36639118457300274,0.04132231404958678,0.6937795
Y4_2024-25,Health safety and attendance,299,0.6533171,0.30005378,0.046629112,0.7759197324414716,0.21070234113712374,0.013377926421404682,0.72794724
Y4_2024-25,Recruitment and labor market,279,0.5259686,0.36581475,0.10821665,0.6057347670250897,0.3225806451612903,0.07168458781362007,0.6865616
Y4_2024-25,Scheduling hours and time off,383,0.47130626,0.44989222,0.07880151,0.5169712793733682,0.4516971279373368,0.031331592689295036,0.6875547
Y4_2024-25,Service work and tips,111,0.5440485,0.3958824,0.06006906,0.6216216216216216,0.35135135135135137,0.02702702702702703,0.69678974
Y4_2024-25,Work arrangements and control,162,0.45735687,0.434769,0.107874155,0.4691358024691358,0.4567901234567901,0.07407407407407407,0.6758147
Y4_2024-25,Workplace authority and interpersonal conflict,246,0.64024913,0.28071672,0.07903414,0.7723577235772358,0.17479674796747968,0.052845528455284556,0.72703457
