month,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts,three_month_share_all_posts
2021-03-01,Career precarity and exit,9,255,39,0.03529411764705882,0.23076923076923078,0.038055222088835536
2021-03-01,Collective worker power and rights,0,255,39,0.0,0.0,0.0
2021-03-01,Compensation and pay rights,7,255,39,0.027450980392156862,0.1794871794871795,0.01712685074029612
2021-03-01,Health safety and attendance,8,255,39,0.03137254901960784,0.20512820512820512,0.0343937575030012
2021-03-01,Recruitment and labor market,3,255,39,0.011764705882352941,0.07692307692307693,0.01948779511804722
2021-03-01,Scheduling hours and time off,6,255,39,0.023529411764705882,0.15384615384615385,0.021968787515006
2021-03-01,Service work and tips,2,255,39,0.00784313725490196,0.05128205128205128,0.007322929171668668
2021-03-01,Work arrangements and control,4,255,39,0.01568627450980392,0.10256410256410256,0.01294517807122849
2021-03-01,Workplace authority and interpersonal conflict,0,255,39,0.0,0.0,0.00510204081632653
2021-04-01,Career precarity and exit,12,294,47,0.04081632653061224,0.2553191489361702,0.03506007053984384
2021-04-01,Collective worker power and rights,0,294,47,0.0,0.0,0.0
2021-04-01,Compensation and pay rights,2,294,47,0.006802721088435374,0.0425531914893617,0.01626286173384082
2021-04-01,Health safety and attendance,11,294,47,0.03741496598639456,0.23404255319148937,0.03165010190122561
2021-04-01,Recruitment and labor market,8,294,47,0.027210884353741496,0.1702127659574468,0.01880581690040357
2021-04-01,Scheduling hours and time off,6,294,47,0.02040816326530612,0.1276595744680851,0.018521827335585397
2021-04-01,Service work and tips,2,294,47,0.006802721088435374,0.0425531914893617,0.00585094502917446
2021-04-01,Work arrangements and control,3,294,47,0.01020408163265306,0.06382978723404255,0.011537095458338373
2021-04-01,Workplace authority and interpersonal conflict,3,294,47,0.01020408163265306,0.06382978723404255,0.003401360544217687
2021-05-01,Career precarity and exit,10,344,38,0.029069767441860465,0.2631578947368421,0.03942439691555542
2021-05-01,Collective worker power and rights,0,344,38,0.0,0.0,0.000896057347670251
2021-05-01,Compensation and pay rights,5,344,38,0.014534883720930232,0.13157894736842105,0.010696764327136205
2021-05-01,Health safety and attendance,9,344,38,0.02616279069767442,0.23684210526315788,0.029257101690388584
2021-05-01,Recruitment and labor market,6,344,38,0.01744186046511628,0.15789473684210525,0.0220527070543146
2021-05-01,Scheduling hours and time off,4,344,38,0.011627906976744186,0.10526315789473684,0.01426291947136444
2021-05-01,Service work and tips,1,344,38,0.0029069767441860465,0.02631578947368421,0.004132623291877391
2021-05-01,Work arrangements and control,3,344,38,0.00872093023255814,0.07894736842105263,0.010788624026754989
2021-05-01,Workplace authority and interpersonal conflict,0,344,38,0.0,0.0,0.006985589934898691
2021-06-01,Career precarity and exit,18,372,54,0.04838709677419355,0.3333333333333333,0.04581895473868467
2021-06-01,Collective worker power and rights,1,372,54,0.002688172043010753,0.018518518518518517,0.0018484383000512035
2021-06-01,Compensation and pay rights,4,372,54,0.010752688172043012,0.07407407407407407,0.017953000154800603
2021-06-01,Health safety and attendance,9,372,54,0.024193548387096774,0.16666666666666666,0.024404493980638015
2021-06-01,Recruitment and labor market,8,372,54,0.021505376344086023,0.14814814814814814,0.01774431703163886
2021-06-01,Scheduling hours and time off,4,372,54,0.010752688172043012,0.07407407407407407,0.011269722192452876
2021-06-01,Service work and tips,1,372,54,0.002688172043010753,0.018518518518518517,0.0037698115004941714
2021-06-01,Work arrangements and control,5,372,54,0.013440860215053764,0.09259259259259259,0.016911073006346825
2021-06-01,Workplace authority and interpersonal conflict,4,372,54,0.010752688172043012,0.07407407407407407,0.005488991295442908
2021-07-01,Career precarity and exit,21,350,63,0.06,0.3333333333333333,0.047977373490292
2021-07-01,Collective worker power and rights,1,350,63,0.002857142857142857,0.015873015873015872,0.0018484383000512035
2021-07-01,Compensation and pay rights,10,350,63,0.02857142857142857,0.15873015873015872,0.017847375407381523
2021-07-01,Health safety and attendance,8,350,63,0.022857142857142857,0.12698412698412698,0.02674201556482553
2021-07-01,Recruitment and labor market,5,350,63,0.014285714285714285,0.07936507936507936,0.016669700036157763
2021-07-01,Scheduling hours and time off,4,350,63,0.011428571428571429,0.06349206349206349,0.015292647355023137
