rolling_window,candidate_theme,post_count,total_posts,mapped_posts,share_all_posts,share_mapped_posts
Y1_2021-22,Career precarity and exit,718,28276,5261,0.02539255906068751,0.13647595514160807
Y1_2021-22,Collective worker power and rights,231,28276,5261,0.008169472344037346,0.043908002280935186
Y1_2021-22,Compensation and pay rights,994,28276,5261,0.0351534870561607,0.18893746436038775
Y1_2021-22,Health safety and attendance,1406,28276,5261,0.049724147687084455,0.26724957232465313
Y1_2021-22,Recruitment and labor market,560,28276,5261,0.019804781440090537,0.1064436418931762
Y1_2021-22,Scheduling hours and time off,484,28276,5261,0.017116989673221106,0.09199771906481657
Y1_2021-22,Service work and tips,374,28276,5261,0.013226764747489036,0.07108914655008554
Y1_2021-22,Work arrangements and control,286,28276,5261,0.01011458480690338,0.054362288538300704
Y1_2021-22,Workplace authority and interpersonal conflict,208,28276,5261,0.007356061677747913,0.039536209846036875
Y2_2022-23,Career precarity and exit,956,34410,6635,0.02778262133100843,0.1440844009042954
Y2_2022-23,Collective worker power and rights,226,34410,6635,0.006567858180761407,0.034061793519216274
Y2_2022-23,Compensation and pay rights,1379,34410,6635,0.04007555943039814,0.2078372268274303
Y2_2022-23,Health safety and attendance,1023,34410,6635,0.02972972972972973,0.15418236623963827
Y2_2022-23,Recruitment and labor market,780,34410,6635,0.022667829119442023,0.1175584024114544
Y2_2022-23,Scheduling hours and time off,878,34410,6635,0.025515838419064227,0.13232856066314996
Y2_2022-23,Service work and tips,476,34410,6635,0.013833188026736413,0.07174076865109269
Y2_2022-23,Work arrangements and control,513,34410,6635,0.014908456843940715,0.0773172569706104
Y2_2022-23,Workplace authority and interpersonal conflict,404,34410,6635,0.011740773031095612,0.060889223813112285
Y3_2023-24,Career precarity and exit,644,22608,4422,0.02848549186128804,0.1456354590682949
Y3_2023-24,Collective worker power and rights,107,22608,4422,0.0047328379334748765,0.024197195838986885
Y3_2023-24,Compensation and pay rights,856,22608,4422,0.03786270346779901,0.19357756671189508
Y3_2023-24,Health safety and attendance,574,22608,4422,0.025389242745930643,0.12980551786521935
Y3_2023-24,Recruitment and labor market,551,22608,4422,0.024371903750884643,0.12460425146992311
Y3_2023-24,Scheduling hours and time off,704,22608,4422,0.03113941967445152,0.15920398009950248
Y3_2023-24,Service work and tips,274,22608,4422,0.012119603680113234,0.06196291270918137
Y3_2023-24,Work arrangements and control,330,22608,4422,0.014596602972399151,0.07462686567164178
Y3_2023-24,Workplace authority and interpersonal conflict,382,22608,4422,0.016896673743807503,0.08638625056535504
Y4_2024-25,Career precarity and exit,295,11960,2188,0.024665551839464884,0.13482632541133455
Y4_2024-25,Collective worker power and rights,50,11960,2188,0.004180602006688963,0.022851919561243144
Y4_2024-25,Compensation and pay rights,363,11960,2188,0.03035117056856187,0.16590493601462522
Y4_2024-25,Health safety and attendance,299,11960,2188,0.025,0.136654478976234
Y4_2024-25,Recruitment and labor market,279,11960,2188,0.023327759197324414,0.12751371115173674
Y4_2024-25,Scheduling hours and time off,383,11960,2188,0.03202341137123746,0.1750457038391225
Y4_2024-25,Service work and tips,111,11960,2188,0.009280936454849498,0.05073126142595978
Y4_2024-25,Work arrangements and control,162,11960,2188,0.01354515050167224,0.0740402193784278
Y4_2024-25,Workplace authority and interpersonal conflict,246,11960,2188,0.0205685618729097,0.11243144424131626
