month,total_posts,assigned_posts,outlier_posts,assigned_rate,outlier_rate
2021-03-01,255,92,163,0.3607843137254902,0.6392156862745098
2021-04-01,294,114,180,0.3877551020408163,0.6122448979591837
2021-05-01,344,114,230,0.3313953488372093,0.6686046511627907
2021-06-01,372,128,244,0.34408602150537637,0.6559139784946236
2021-07-01,350,142,208,0.4057142857142857,0.5942857142857143
2021-08-01,422,160,262,0.3791469194312796,0.6208530805687204
2021-09-01,669,242,427,0.3617339312406577,0.6382660687593423
2021-10-01,2962,1087,1875,0.36698176907494934,0.6330182309250506
2021-11-01,5872,2085,3787,0.35507493188010897,0.644925068119891
2021-12-01,6998,2729,4269,0.38996856244641326,0.6100314375535867
2022-01-01,6485,2684,3801,0.4138781804163454,0.5861218195836546
2022-02-01,3253,1243,2010,0.38210882262526896,0.617891177374731
2022-03-01,4033,1555,2478,0.38556905529382596,0.6144309447061741
2022-04-01,3996,1590,2406,0.3978978978978979,0.6021021021021021
2022-05-01,2851,1127,1724,0.3952998947737636,0.6047001052262364
2022-06-01,2821,1070,1751,0.3792981212336051,0.6207018787663949
2022-07-01,3669,1380,2289,0.3761242845461979,0.6238757154538022
2022-08-01,3667,1426,2241,0.38887373875102266,0.6111262612489774
2022-09-01,2547,1037,1510,0.4071456615626227,0.5928543384373773
2022-10-01,2289,902,1387,0.39405854084753167,0.6059414591524683
2022-11-01,2049,782,1267,0.3816495851634944,0.6183504148365057
2022-12-01,2276,1002,1274,0.44024604569420034,0.5597539543057997
2023-01-01,2242,887,1355,0.39562890276538804,0.6043710972346119
2023-02-01,1970,832,1138,0.42233502538071066,0.5776649746192893
2023-03-01,2059,879,1180,0.42690626517727054,0.5730937348227295
2023-04-01,1626,661,965,0.4065190651906519,0.593480934809348
2023-05-01,1931,810,1121,0.41947177628171933,0.5805282237182807
2023-06-01,1311,546,765,0.41647597254004576,0.5835240274599542
2023-07-01,2747,998,1749,0.3633054240990171,0.6366945759009829
2023-08-01,3114,1175,1939,0.3773281952472704,0.6226718047527297
2023-09-01,2070,749,1321,0.36183574879227054,0.6381642512077295
2023-10-01,1746,613,1133,0.3510882016036655,0.6489117983963345
2023-11-01,1558,585,973,0.3754813863928113,0.6245186136071887
2023-12-01,1548,573,975,0.3701550387596899,0.6298449612403101
2024-01-01,1526,634,892,0.41546526867627787,0.5845347313237221
2024-02-01,1372,509,863,0.37099125364431484,0.6290087463556852
2024-03-01,1313,497,816,0.37852246763137853,0.6214775323686215
2024-04-01,1174,425,749,0.36201022146507666,0.6379897785349233
2024-05-01,1247,437,810,0.3504410585404972,0.6495589414595028
2024-06-01,1192,409,783,0.34312080536912754,0.6568791946308725
2024-07-01,1123,394,729,0.3508459483526269,0.649154051647373
2024-08-01,1059,411,648,0.3881019830028329,0.6118980169971672
2024-09-01,909,344,565,0.37843784378437845,0.6215621562156216
2024-10-01,936,354,582,0.3782051282051282,0.6217948717948718
2024-11-01,841,302,539,0.3590963139120095,0.6409036860879905
2024-12-01,722,281,441,0.389196675900277,0.610803324099723
2025-01-01,807,305,502,0.37794299876084264,0.6220570012391574
2025-02-01,637,235,402,0.36891679748822603,0.631083202511774
