month,total_posts,topic,cluster_label,cluster_n,post_count,share_all_posts
2021-03-01,255,0,"Hiring and interviews
Recruitment and labor market",2170,3,0.011764705882352941
2021-04-01,294,0,"Hiring and interviews
Recruitment and labor market",2170,8,0.027210884353741496
2021-05-01,344,0,"Hiring and interviews
Recruitment and labor market",2170,6,0.01744186046511628
2021-06-01,372,0,"Hiring and interviews
Recruitment and labor market",2170,8,0.021505376344086023
2021-07-01,350,0,"Hiring and interviews
Recruitment and labor market",2170,5,0.014285714285714285
2021-08-01,422,0,"Hiring and interviews
Recruitment and labor market",2170,6,0.014218009478672985
2021-09-01,669,0,"Hiring and interviews
Recruitment and labor market",2170,9,0.013452914798206279
2021-10-01,2962,0,"Hiring and interviews
Recruitment and labor market",2170,73,0.02464550979068197
2021-11-01,5872,0,"Hiring and interviews
Recruitment and labor market",2170,140,0.023841961852861037
2021-12-01,6998,0,"Hiring and interviews
Recruitment and labor market",2170,109,0.01557587882252072
2022-01-01,6485,0,"Hiring and interviews
Recruitment and labor market",2170,112,0.017270624518118737
2022-02-01,3253,0,"Hiring and interviews
Recruitment and labor market",2170,81,0.02490009222256379
2022-03-01,4033,0,"Hiring and interviews
Recruitment and labor market",2170,125,0.030994297049342923
2022-04-01,3996,0,"Hiring and interviews
Recruitment and labor market",2170,87,0.02177177177177177
2022-05-01,2851,0,"Hiring and interviews
Recruitment and labor market",2170,70,0.024552788495264818
2022-06-01,2821,0,"Hiring and interviews
Recruitment and labor market",2170,63,0.022332506203473945
2022-07-01,3669,0,"Hiring and interviews
Recruitment and labor market",2170,78,0.02125919869174162
2022-08-01,3667,0,"Hiring and interviews
Recruitment and labor market",2170,83,0.022634305972184347
2022-09-01,2547,0,"Hiring and interviews
Recruitment and labor market",2170,64,0.02512760109933255
2022-10-01,2289,0,"Hiring and interviews
Recruitment and labor market",2170,52,0.022717343818261248
2022-11-01,2049,0,"Hiring and interviews
Recruitment and labor market",2170,36,0.017569546120058566
2022-12-01,2276,0,"Hiring and interviews
Recruitment and labor market",2170,35,0.015377855887521968
2023-01-01,2242,0,"Hiring and interviews
Recruitment and labor market",2170,44,0.019625334522747548
2023-02-01,1970,0,"Hiring and interviews
Recruitment and labor market",2170,43,0.02182741116751269
2023-03-01,2059,0,"Hiring and interviews
Recruitment and labor market",2170,45,0.021855269548324428
2023-04-01,1626,0,"Hiring and interviews
Recruitment and labor market",2170,32,0.01968019680196802
2023-05-01,1931,0,"Hiring and interviews
Recruitment and labor market",2170,32,0.016571724495080268
2023-06-01,1311,0,"Hiring and interviews
Recruitment and labor market",2170,43,0.03279938977879481
2023-07-01,2747,0,"Hiring and interviews
Recruitment and labor market",2170,76,0.02766654532216964
2023-08-01,3114,0,"Hiring and interviews
Recruitment and labor market",2170,89,0.028580603725112397
2023-09-01,2070,0,"Hiring and interviews
Recruitment and labor market",2170,55,0.026570048309178744
2023-10-01,1746,0,"Hiring and interviews
Recruitment and labor market",2170,55,0.03150057273768614
2023-11-01,1558,0,"Hiring and interviews
Recruitment and labor market",2170,27,0.017329910141206675
2023-12-01,1548,0,"Hiring and interviews
Recruitment and labor market",2170,26,0.016795865633074936
2024-01-01,1526,0,"Hiring and interviews
Recruitment and labor market",2170,32,0.020969855832241154
2024-02-01,1372,0,"Hiring and interviews
Recruitment and labor market",2170,39,0.028425655976676383
2024-03-01,1313,0,"Hiring and interviews
Recruitment and labor market",2170,32,0.024371667936024372
2024-04-01,1174,0,"Hiring and interviews
Recruitment and labor market",2170,29,0.024701873935264053
2024-05-01,1247,0,"Hiring and interviews
Recruitment and labor market",2170,37,0.02967121090617482
2024-06-01,1192,0,"Hiring and interviews
Recruitment and labor market",2170,29,0.024328859060402684
2024-07-01,1123,0,"Hiring and interviews
Recruitment and labor market",2170,24,0.0213713268032057
2024-08-01,1059,0,"Hiring and interviews
Recruitment and labor market",2170,33,0.031161473087818695
2024-09-01,909,0,"Hiring and interviews
Recruitment and labor market",2170,21,0.0231023102310231
2024-10-01,936,0,"Hiring and interviews
Recruitment and labor market",2170,24,0.02564102564102564
2024-11-01,841,0,"Hiring and interviews
Recruitment and labor market",2170,16,0.019024970273483946
2024-12-01,722,0,"Hiring and interviews
Recruitment and labor market",2170,11,0.015235457063711912
2025-01-01,807,0,"Hiring and interviews
Recruitment and labor market",2170,13,0.0161090458488228
2025-02-01,637,0,"Hiring and interviews
Recruitment and labor market",2170,10,0.015698587127158554
2021-03-01,255,2,"Raises and salary
Compensation and pay rights",1737,7,0.027450980392156862
2021-04-01,294,2,"Raises and salary
Compensation and pay rights",1737,1,0.003401360544217687
2021-05-01,344,2,"Raises and salary
Compensation and pay rights",1737,4,0.011627906976744186
2021-06-01,372,2,"Raises and salary
Compensation and pay rights",1737,3,0.008064516129032258
2021-07-01,350,2,"Raises and salary
Compensation and pay rights",1737,5,0.014285714285714285
2021-08-01,422,2,"Raises and salary
Compensation and pay rights",1737,2,0.004739336492890996
2021-09-01,669,2,"Raises and salary
Compensation and pay rights",1737,10,0.014947683109118086
2021-10-01,2962,2,"Raises and salary
Compensation and pay rights",1737,51,0.017218095881161376
2021-11-01,5872,2,"Raises and salary
Compensation and pay rights",1737,93,0.015837874659400546
2021-12-01,6998,2,"Raises and salary
Compensation and pay rights",1737,147,0.02100600171477565
2022-01-01,6485,2,"Raises and salary
Compensation and pay rights",1737,172,0.026522744795682344
2022-02-01,3253,2,"Raises and salary
Compensation and pay rights",1737,84,0.02582231786043652
2022-03-01,4033,2,"Raises and salary
Compensation and pay rights",1737,96,0.023803620133895365
2022-04-01,3996,2,"Raises and salary
Compensation and pay rights",1737,96,0.024024024024024024
2022-05-01,2851,2,"Raises and salary
Compensation and pay rights",1737,60,0.02104524728165556
2022-06-01,2821,2,"Raises and salary
Compensation and pay rights",1737,70,0.02481389578163772
2022-07-01,3669,2,"Raises and salary
Compensation and pay rights",1737,82,0.022349414009266832
2022-08-01,3667,2,"Raises and salary
Compensation and pay rights",1737,61,0.01663485137714753
2022-09-01,2547,2,"Raises and salary
Compensation and pay rights",1737,48,0.01884570082449941
2022-10-01,2289,2,"Raises and salary
Compensation and pay rights",1737,38,0.016601135867190912
2022-11-01,2049,2,"Raises and salary
Compensation and pay rights",1737,37,0.01805758906783797
2022-12-01,2276,2,"Raises and salary
Compensation and pay rights",1737,28,0.012302284710017574
2023-01-01,2242,2,"Raises and salary
Compensation and pay rights",1737,38,0.01694915254237288
2023-02-01,1970,2,"Raises and salary
Compensation and pay rights",1737,26,0.013197969543147208
2023-03-01,2059,2,"Raises and salary
Compensation and pay rights",1737,38,0.018455560951918408
2023-04-01,1626,2,"Raises and salary
Compensation and pay rights",1737,24,0.014760147601476014
2023-05-01,1931,2,"Raises and salary
Compensation and pay rights",1737,38,0.01967892283790782
2023-06-01,1311,2,"Raises and salary
Compensation and pay rights",1737,33,0.02517162471395881
2023-07-01,2747,2,"Raises and salary
Compensation and pay rights",1737,41,0.014925373134328358
2023-08-01,3114,2,"Raises and salary
Compensation and pay rights",1737,51,0.016377649325626204
2023-09-01,2070,2,"Raises and salary
Compensation and pay rights",1737,31,0.01497584541062802
2023-10-01,1746,2,"Raises and salary
Compensation and pay rights",1737,17,0.009736540664375716
2023-11-01,1558,2,"Raises and salary
Compensation and pay rights",1737,7,0.004492939666238768
2023-12-01,1548,2,"Raises and salary
Compensation and pay rights",1737,21,0.013565891472868217
2024-01-01,1526,2,"Raises and salary
Compensation and pay rights",1737,26,0.01703800786369594
2024-02-01,1372,2,"Raises and salary
Compensation and pay rights",1737,21,0.015306122448979591
2024-03-01,1313,2,"Raises and salary
Compensation and pay rights",1737,24,0.01827875095201828
2024-04-01,1174,2,"Raises and salary
Compensation and pay rights",1737,16,0.013628620102214651
2024-05-01,1247,2,"Raises and salary
Compensation and pay rights",1737,13,0.010425020048115477
2024-06-01,1192,2,"Raises and salary
Compensation and pay rights",1737,17,0.014261744966442953
2024-07-01,1123,2,"Raises and salary
Compensation and pay rights",1737,11,0.009795191451469279
2024-08-01,1059,2,"Raises and salary
Compensation and pay rights",1737,14,0.013220018885741265
2024-09-01,909,2,"Raises and salary
Compensation and pay rights",1737,5,0.005500550055005501
2024-10-01,936,2,"Raises and salary
Compensation and pay rights",1737,8,0.008547008547008548
2024-11-01,841,2,"Raises and salary
Compensation and pay rights",1737,5,0.005945303210463734
2024-12-01,722,2,"Raises and salary
Compensation and pay rights",1737,5,0.006925207756232687
2025-01-01,807,2,"Raises and salary
Compensation and pay rights",1737,5,0.006195786864931847
2025-02-01,637,2,"Raises and salary
Compensation and pay rights",1737,7,0.01098901098901099
2021-03-01,255,4,"COVID and workplace illness
Health safety and attendance",1329,6,0.023529411764705882
